CreditScore,Geography,Gender,Age,Balance,NumOfProducts,IsActiveMember
402,Spain,Female,25,97419.44,4,0
735,Spain,Female,26,84706.08,4,0
570,Germany,Male,64,2359.5,3,1
406,France,Male,32,89856.06,4,1
371,Spain,Female,65,78319.84,1,1
320,Spain,Male,63,78037.61,2,1
421,France,Male,57,45799.58,2,1
766,Germany,Female,35,39800.53,4,0
514,France,Male,59,30291.57,4,1
630,Germany,Male,37,6569.49,1,1
758,Spain,Female,23,22823.54,3,0
387,Germany,Male,29,24660.36,4,0
672,Spain,Male,19,48407.71,4,1
399,France,Female,24,74744.44,4,1
430,France,Male,33,47380.98,4,0
608,France,Male,20,5784.44,2,1
643,Germany,Female,62,95778.98,4,1
791,Spain,Female,20,94272.43,2,0
713,France,Female,44,78518.95,4,1
685,France,Male,67,99132.79,3,0
491,Spain,Female,60,54448.23,1,0
576,France,Male,57,96276.84,3,0
460,Spain,Female,55,7560.5,4,0
759,Spain,Male,50,36568.07,4,1
613,Spain,Female,45,22538.13,4,0
321,Spain,Female,18,19583.31,3,1
552,Spain,Female,25,14080.29,4,1
774,Germany,Female,54,62241.36,3,1
358,France,Male,49,78132.19,2,1
810,Germany,Female,65,57829.84,1,1
775,France,Female,60,14696.27,1,0
489,Germany,Male,54,81112.38,3,0
543,Spain,Female,21,63595.47,2,0
804,France,Male,47,38816.57,3,0
430,France,Female,23,67413.03,2,1
784,Germany,Female,63,25990.5,4,0
320,Germany,Female,36,34519.22,2,1
466,France,Male,49,91748.58,2,1
573,Germany,Female,26,29050.45,2,0
687,Germany,Female,29,46998.83,1,0
615,Germany,Female,28,89014.11,2,0
313,Spain,Male,63,70772.14,4,0
541,Spain,Male,33,6220.32,4,1
645,Germany,Female,18,14730.3,4,1
639,Germany,Male,62,784.16,2,0
391,Spain,Female,38,63092.18,3,1
666,Spain,Female,47,44767.34,3,1
754,France,Female,30,13427.49,4,1
727,France,Female,51,95793.41,1,0
808,Spain,Female,21,52965.97,3,1
334,Germany,Female,45,24189.33,2,0
505,Germany,Female,55,50060.36,3,0
380,Germany,Male,48,67962.03,4,1
687,Germany,Male,44,7623.92,1,1
301,France,Male,22,27470.38,3,0
689,Spain,Male,42,80696.55,3,1
405,Germany,Male,20,45966.49,4,1
776,France,Male,50,54657.71,1,0
701,Germany,Male,21,43281.6,1,0
461,Spain,Female,42,4389.99,4,0
501,France,Female,37,16574.98,2,0
569,Spain,Female,51,44554.16,3,1
570,Spain,Female,43,20918.55,2,1
755,France,Male,22,4997.9,3,0
761,France,Male,52,84364.97,3,0
551,France,Female,45,98119.25,2,0
595,France,Female,46,79314.29,4,1
637,France,Male,26,85378.49,4,0
352,France,Female,69,24197.71,3,1
516,France,Female,55,96062.7,4,0
487,Germany,Female,67,19692.57,3,0
679,Spain,Female,23,95142.98,4,0
792,France,Male,36,99481.93,3,1
340,Germany,Female,61,71172.28,4,1
456,Germany,Female,28,98114.37,1,1
314,Germany,Male,19,56953.98,2,0
364,Spain,Male,64,25954.18,1,1
820,France,Female,61,43699.59,2,1
643,Germany,Male,61,59356.09,2,0
428,Spain,Female,26,7308.16,3,0
771,Spain,Female,38,62234.33,2,1
362,Spain,Male,41,98117.78,1,1
438,Germany,Female,51,19010.76,1,1
798,France,Female,39,79259.51,4,1
691,Germany,Female,20,90789.88,1,0
718,Germany,Female,29,94370.16,4,0
588,France,Male,45,96013.56,2,0
678,France,Male,47,52145.96,1,1
789,France,Female,43,97730.79,2,1
530,Spain,Male,65,75731.02,1,0
340,France,Female,38,16167.14,1,0
327,Germany,Female,45,47690.01,4,1
434,France,Female,43,71833.12,2,1
500,Germany,Female,50,24734.03,1,0
332,Spain,Female,38,64061.52,3,0
347,Germany,Male,52,66660.05,2,0
802,Germany,Female,69,16269.97,2,1
706,France,Male,51,56508.53,2,1
398,France,Male,58,77162.69,4,1
846,Germany,Female,68,49889.57,3,1
761,France,Female,64,1210.31,2,1
304,Spain,Female,35,903.85,1,1
517,Spain,Female,28,35702.93,1,0
802,France,Female,40,92619.41,4,0
697,Spain,Male,65,22867.68,1,1
692,France,Female,39,63436.37,2,0
506,Germany,Female,34,22207.59,1,1
314,Germany,Male,22,32167.0,2,0
760,Spain,Male,61,84804.21,1,1
540,France,Female,28,72886.14,3,0
395,France,Male,47,9539.93,4,0
784,Spain,Female,32,42870.2,4,1
706,Germany,Male,44,2916.98,3,1
530,Spain,Male,52,48089.01,3,0
470,Germany,Female,50,66243.4,4,0
840,France,Male,37,11850.26,3,1
335,Germany,Male,33,28888.49,2,0
824,Spain,Male,51,39783.66,1,1
459,France,Male,19,91953.1,4,1
542,Spain,Male,52,99325.5,3,0
385,Spain,Male,57,4491.13,2,1
327,Germany,Female,45,76100.79,4,0
639,Spain,Female,64,37172.41,3,0
630,Germany,Male,56,39245.82,4,1
805,France,Female,23,75426.5,3,0
647,Germany,Female,26,91842.64,4,1
772,France,Female,37,95092.86,2,1
530,Germany,Male,18,57712.26,2,1
489,Spain,Female,25,35712.12,1,0
524,Germany,Male,40,78754.91,4,1
684,Germany,Female,20,25100.14,1,0
676,France,Male,21,56407.4,4,1
582,Spain,Male,42,35857.85,3,1
558,Germany,Female,64,65663.11,3,1
658,Spain,Female,55,24039.89,1,0
755,Germany,Male,32,19159.29,4,0
710,Germany,Female,38,91823.91,1,1
617,Spain,Female,52,10180.37,2,1
524,Germany,Female,63,50595.79,1,0
533,Spain,Male,69,22085.28,1,0
673,Germany,Male,31,3893.0,3,0
771,France,Female,53,3601.88,1,1
532,Spain,Female,29,17522.18,4,0
412,Germany,Female,34,86677.04,3,1
796,Germany,Male,56,28247.87,1,0
741,France,Male,26,95045.92,2,1
567,Spain,Female,52,58162.23,1,1
809,Germany,Female,30,43661.42,1,1
685,France,Female,32,58008.88,1,0
686,Germany,Female,35,51669.84,3,0
412,Spain,Female,68,75877.63,4,0
380,Germany,Female,50,28249.61,2,1
412,Germany,Male,23,35305.04,1,1
301,Germany,Female,44,89409.43,4,0
519,Germany,Male,40,94645.65,4,1
524,France,Female,44,89255.82,3,1
684,France,Female,51,41944.8,2,1
702,Spain,Male,63,78036.55,3,0
429,France,Male,55,47633.57,4,1
352,France,Male,31,49753.99,4,0
715,Spain,Male,53,20468.01,4,0
546,France,Female,25,59113.03,3,0
738,France,Male,52,18613.59,2,0
502,Spain,Female,36,33156.47,1,0
483,Spain,Male,47,85503.02,3,1
422,Spain,Female,31,20707.58,4,0
700,Germany,Female,37,7115.83,3,0
593,Germany,Female,66,6900.76,4,0
579,Spain,Female,42,94078.45,1,1
497,Spain,Female,57,50692.04,1,1
810,Spain,Female,41,40941.21,2,1
443,Germany,Male,31,81087.86,4,1
500,Germany,Female,43,83582.59,2,0
423,France,Male,55,33219.1,2,0
486,France,Male,40,69361.81,1,1
625,Spain,Female,39,77112.28,3,1
763,Germany,Male,65,65465.07,3,1
648,Germany,Female,36,15159.51,2,1
702,Germany,Male,63,87588.31,1,0
645,Spain,Female,68,53909.46,4,1
810,France,Male,20,28247.24,3,1
446,Spain,Female,59,42522.82,2,1
447,France,Female,36,3757.11,3,1
788,France,Female,26,12786.68,3,1
850,Spain,Female,45,76554.68,4,1
637,France,Male,37,1.16,1,1
772,France,Female,62,41656.58,4,0
450,Germany,Male,24,52251.02,1,0
714,France,Male,31,5463.44,3,0
597,Spain,Male,26,97307.82,2,0
562,Spain,Female,36,22612.53,4,0
443,France,Male,64,30419.87,1,0
645,Germany,Male,69,30394.25,3,1
301,Germany,Male,31,23041.67,1,1
603,France,Female,55,147.38,1,0
553,France,Female,53,72934.48,1,1
752,Spain,Male,57,96684.55,3,0
336,France,Female,34,22429.35,2,1
459,Germany,Female,47,66304.72,2,1
308,France,Male,26,74189.63,2,1
532,Spain,Male,50,84842.54,1,1
398,Spain,Female,69,42262.92,3,1
507,Spain,Male,42,30293.09,1,1
